apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4230.2M21305451+1145146,2M21305451+1145146,322.727137,11.754071,4732.471,2.786224,-0.25742,-0.33837,0.16509,-0.001934916,0.03696271
apogee.apo25m.s.stars.4230.2M21305720+1141398,2M21305720+1141398,322.738365,11.694402,4567.637,2.465425,0.1195,-0.32192,0.22387,-0.1942855,0.02478301
apogee.apo25m.s.stars.4230.2M21310488+1250496,2M21310488+1250496,322.770374,12.847125,4560.163,2.42092,0.094266,0.37597,0.015043,0.2065007,0.01671114
apogee.apo25m.s.stars.4230.2M21310624+1133598,2M21310624+1133598,322.776021,11.56662,4370.373,1.8923,0.19528,-0.55636,0.30204,-0.2438222,0.02649913
apogee.apo25m.s.stars.4230.2M21310801+1201391,2M21310801+1201391,322.783387,12.027529,4801.372,3.37451,-0.038123,-0.22693,0.17869,-0.1896853,0.02537786
apogee.apo25m.s.stars.4230.2M21311479+1126146,2M21311479+1126146,322.811627,11.437393,4720.392,2.444922,0.14719,0.077359,0.069205,-0.00252299,0.02082698
apogee.apo25m.s.stars.4230.2M21311582+1239479,2M21311582+1239479,322.815953,12.663326,4312.389,1.958542,0.17553,-0.29827,0.22755,-0.1609101,0.02247921
apogee.apo25m.s.stars.4230.2M21311920+1158223,2M21311920+1158223,322.830041,11.972879,4595.11,2.787995,0.040623,0.31353,-0.0098001,-0.1310578,0.03253212
apogee.apo25m.s.stars.4230.2M21311936+1129141,2M21311936+1129141,322.830693,11.487271,4377.135,2.074243,0.15601,0.038146,0.091517,-0.1603313,0.01900945
apogee.apo25m.s.stars.4230.2M21312098+1124543,2M21312098+1124543,322.837448,11.415109,4658.952,2.455498,0.10823,-0.14834,0.04793,-0.05964179,0.02316595
apogee.apo25m.s.stars.4230.2M21312463+1230046,2M21312463+1230046,322.852648,12.501285,4875.225,3.380633,0.049297,0.23534,0.027454,0.01949236,0.03002733
apogee.apo25m.s.stars.4230.2M21312524+1237261,2M21312524+1237261,322.855199,12.623938,4617.181,2.647121,0.086955,0.088696,0.050825,-0.0002532527,0.02000175
apogee.apo25m.s.stars.4230.2M21312747+1159583,2M21312747+1159583,322.864479,11.999542,4477.679,2.211892,0.16999,0.001806,0.065043,-0.01895839,0.02005583
apogee.apo25m.s.stars.4230.2M21313232+1205201,2M21313232+1205201,322.884691,12.088944,4867.423,3.041276,-0.21675,-0.19529,0.049796,-0.1240949,0.02547991
apogee.apo25m.s.stars.4230.2M21313287+1225112,2M21313287+1225112,322.886994,12.419797,4436.934,1.866109,0.16566,-0.63308,0.27582,-0.1983653,0.04276664
apogee.apo25m.s.stars.4230.2M21313437+1144005,2M21313437+1144005,322.893233,11.733486,4878.154,2.447197,0.16891,-0.086493,0.062616,-0.003452286,0.02405386
apogee.apo25m.s.stars.4230.2M21314055+1224087,2M21314055+1224087,322.918982,12.402428,4607.695,2.403286,0.13931,0.18307,0.033462,0.0004367679,0.01891169
apogee.apo25m.s.stars.4230.2M21314255+1249212,2M21314255+1249212,322.927306,12.822568,4525.234,2.268718,0.14922,-0.07456,0.035266,-0.01568965,0.02126565
apogee.apo25m.s.stars.4230.2M21314600+1247209,2M21314600+1247209,322.941701,12.789146,4596.858,2.39193,0.12719,0.17271,0.053839,0.06137311,0.01895389
apogee.apo25m.s.stars.4230.2M21314625+1209197,2M21314625+1209197,322.942711,12.155489,4895.791,2.750527,-0.027141,-0.52505,0.19255,-0.1809554,0.03935627
apogee.apo25m.s.stars.4230.2M21314908+1232441,2M21314908+1232441,322.9545,12.54561,4928.311,2.423721,0.18899,-0.31793,0.10125,-0.001246095,0.0278539
apogee.apo25m.s.stars.4230.2M21315041+1303054,2M21315041+1303054,322.960056,13.051526,4694.369,2.627586,0.11704,-0.32776,0.26955,-0.194989,0.04064128
